Key	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Marvinbryantia	0	7555700	0	6727400	0	24430000	0	5022400	4061200	10812000	0	30020000	5298900	16605400	19302800	8657100	7081100	3578600	6866700	0	0	0	0	0
Sutterella	0	13052000	0	12983000	33476000	0	39369000	0	0	45692000	0	0	11658000	3664700	0	0	0	0	0	0	0	0	0	0
Oribacterium	0	0	0	0	0	0	0	0	2142800	3423700	0	17472100	0	0	39358700	32150000	4505900	0	0	0	0	0	0	0
Anaerofustis	0	6334500	0	0	10863000	6899800	0	0	5375500	8824000	0	0	0	18777000	13767000	11517000	10688000	0	0	0	0	0	0	0
Megasphaera	0	0	0	0	40010600	7886500	0	0	0	0	0	20864000	4861800	10835000	9649600	5546700	4555500	0	0	0	0	0	0	0
Tannerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100210000	0
Peptostreptococcus	0	0	0	0	0	6895800	0	0	0	0	0	0	0	0	0	0	0	0	67271000	20385000	0	0	0	0
Chlamydia	0	3322800	0	6004700	0	7534400	0	0	1833300	0	0	11219000	0	3243600	0	5929000	8038700	5166100	11871200	7933800	5323600	0	0	0
Megamonas	0	1704100	0	3659400	4204400	12895000	0	0	0	2430600	0	12755000	2747500	6682700	0	0	2287000	2845600	17651200	2884400	0	0	0	0
Coprobacillus	0	0	0	0	6582700	0	0	0	6998400	7660700	0	0	11354000	0	10704000	8028100	10506000	0	0	0	0	0	0	8228800
Collinsella	0	0	0	0	0	0	0	0	0	0	0	13446000	0	0	0	0	0	0	11089000	37003100	0	0	0	14011400
Oscillibacter	0	0	0	0	0	0	0	0	0	0	0	0	7834800	0	9878400	17242000	10026000	0	0	0	0	0	0	5419400
Bilophila	0	0	0	0	0	0	0	0	0	15182100	0	3932400	0	0	21844800	3109400	0	0	0	0	0	0	0	0
Tyzzerella	0	0	0	0	0	0	33540000	0	0	0	0	0	0	0	0	13401000	0	0	0	0	0	0	0	0
Pelosinus	0	0	0	0	0	0	0	0	5370900	0	0	11465000	0	0	0	2989400	0	19416600	0	0	0	0	0	0
Ruminiclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14029000	0	0	0	0	23329500
Flavonifractor	0	0	0	0	3404300	0	0	0	0	0	0	0	0	0	6141700	5169200	5697900	0	0	3956400	0	0	0	2415500
Eggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12011000	0	0	12940400	0	0	0	0
Fusobacterium	0	0	0	0	0	12461000	8740400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Holdemanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10278000	0	0	0	0	0	0	0	6988200
Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Catenibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5583500	0	0	0	0	7957200
Acidaminococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12168000	0	0	0	0
