	Treatment1	Treatment2	Treatment3	Treatment4	Treatment5	Treatment6	Treatment7	Treatment8	Treatment9	Treatment10	Treatment11	Treatment12	Treatment13	Treatment14	Treatment15	Treatment16	Treatment17	Treatment18	Treatment19	Treatment20	Treatment21	Treatment22	Treatment23	Treatment24	Treatment25	Treatment26	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	Control21	Control22	Control23	Control24	Control25	Control26	Control27	Control28
MH0198_GL0127584	-44365.80545	35207.20512	57061.49521	52226.12131	55863.66739	41613.09345	90841.34682	6912.552252	41417.07387	41417.07387	41417.07387	-9914.73216	-9914.73216	47919.52989	-9914.73216	-911.5343186	-911.5343186	-911.5343186	63754.29691	33534.31753	33534.31753	33534.31753	80808.46993	2501.255032	50117.00357	67246.33613	36907.58569	79487.31937	81762.78944	113788.253	74376.81631	88235.30264	89683.97977	6912.552252	41417.07387	41417.07387	99105.67033	41417.07387	39465.07237	71474.15365	67137.48596	78612.93883	104660.9578	50516.3588	58794.25066	59487.14785	33534.31753	33534.31753	81352.84122	33534.31753	53320.70393	73108.06558	80032.32882	63542.71956
V1.UC11-0_GL0085451	12399.04639	95422.44342	58775.95345	16209.25183	57695.20921	41111.24799	58315.48657	40693.97049	37531.74101	63445.53191	16352.20036	20859.09682	20859.09682	20859.09682	20859.09682	20653.45749	20653.45749	20653.45749	20653.45749	19712.14155	19712.14155	19712.14155	16994.77162	16994.77162	16994.77162	16994.77162	12399.04639	12399.04639	12399.04639	12399.04639	8585.594561	39385.74913	57678.29255	50020.68652	16352.20036	16352.20036	16352.20036	16352.20036	20859.09682	20859.09682	20859.09682	20859.09682	20653.45749	20653.45749	20653.45749	20653.45749	19712.14155	19712.14155	19712.14155	19712.14155	16994.77162	16994.77162	16994.77162	16994.77162
MH0002_GL0056427	-18464.02216	38774.8831	43559.42288	12912.07257	75789.59841	35048.15997	-3614.225668	47716.07275	-7666.757968	96769.20789	-7666.757968	36325.21342	36325.21342	36325.21342	36325.21342	32730.67181	32730.67181	32730.67181	32730.67181	-7568.129289	63150.34081	-7568.129289	4396.350921	4396.350921	4396.350921	4396.350921	-18464.02216	36181.38676	58967.27644	27070.87904	-3614.225668	102705.7566	109565.7891	-3614.225668	41936.87589	69687.3391	44404.94837	62007.81809	36325.21342	36325.21342	36325.21342	79241.34066	32730.67181	32730.67181	32730.67181	32730.67181	62592.73998	65412.66784	47240.62707	75717.64195	51343.09658	96612.16016	23035.63341	91691.54601
MH0006_GL0182518	31440.72823	31440.72823	31440.72823	31440.72823	31576.20727	31576.20727	31576.20727	31576.20727	31670.94674	31670.94674	31670.94674	19936.40338	19936.40338	63040.03634	19936.40338	10196.29545	67789.90904	46905.3056	17131.30298	36451.74733	56131.8422	4443.473201	75395.65497	48459.1469	19987.45243	28592.80896	31440.72823	31440.72823	31440.72823	31440.72823	31576.20727	31576.20727	31576.20727	31576.20727	31670.94674	31670.94674	31670.94674	31670.94674	19936.40338	19936.40338	79490.60043	19936.40338	39033.25116	58785.08174	92008.30603	12886.98947	40890.82273	56974.79463	62477.90353	50833.65347	35706.31096	42994.02478	49576.04808	60777.77978
MH0124_GL0085813	26579.42874	26579.42874	26579.42874	26579.42874	23952.54272	23952.54272	23952.54272	23952.54272	72478.08277	43243.83327	51039.21436	41567.56944	77474.56734	82457.67722	32474.3167	142843.851	11757.73485	11757.73485	11757.73485	-852.268255	61385.26425	35632.07589	14728.45844	151034.7618	14728.45844	14728.45844	26579.42874	26579.42874	26579.42874	26579.42874	23952.54272	23952.54272	23952.54272	23952.54272	24671.85603	-25407.02896	-25407.02896	25061.311	-16909.22504	19484.08748	-16909.22504	24314.01287	11757.73485	57145.68931	11757.73485	11757.73485	-852.268255	-852.268255	61964.97855	-852.268255	14728.45844	14728.45844	14728.45844	14728.45844
MH0039_GL0019919	33861.78858	33861.78858	33861.78858	33861.78858	33992.02963	33992.02963	33992.02963	33992.02963	52734.67365	34645.82844	46405.85289	75623.10445	11150.32745	11150.32745	11150.32745	432.9979037	432.9979037	432.9979037	432.9979037	-4022.017118	67572.9311	62627.62202	65688.80172	982.1372758	982.1372758	47027.44961	33861.78858	33861.78858	33861.78858	33861.78858	33992.02963	33992.02963	33992.02963	33992.02963	49001.4967	19797.91856	11953.07636	24126.74923	11150.32745	84172.00801	11150.32745	79470.06208	92802.88864	55617.81672	55467.2928	69236.99397	-4022.017118	65598.20242	-4022.017118	66079.15353	982.1372758	94635.20638	982.1372758	982.1372758
MH0411_GL0002516	66809.82203	-3274.387204	-3274.387204	-3274.387204	-13060.85693	-13060.85693	-13060.85693	94301.18299	19072.07538	19072.07538	19072.07538	-12108.59418	-12108.59418	-12108.59418	46913.42251	18800.48631	18800.48631	18800.48631	18800.48631	18704.72465	18704.72465	18704.72465	19014.43199	19014.43199	19014.43199	19014.43199	30170.96005	-3274.387204	55107.48113	108697.9384	-13060.85693	56778.19523	101175.1252	53996.48303	19072.07538	19072.07538	19072.07538	19072.07538	37744.35459	45019.77969	69337.99017	-12108.59418	18800.48631	18800.48631	18800.48631	18800.48631	18704.72465	18704.72465	18704.72465	18704.72465	19014.43199	19014.43199	19014.43199	19014.43199
MH0230_GL0113961	33327.8185	94149.30098	79048.73503	84107.3715	58179.82746	52398.13261	72181.63658	20717.44759	146031.7027	51931.06191	39890.84993	42362.13801	42362.13801	90113.5716	42362.13801	120273.8972	45895.74197	49183.00128	109120.696	27992.6418	27992.6418	79244.36774	39886.55044	45709.18476	-9030.260076	-9030.260076	33327.8185	150206.7592	33327.8185	33327.8185	88915.44063	40541.16739	53159.55219	-40697.4766	58620.97302	50646.10593	77888.33563	32081.1084	42362.13801	172343.7085	42362.13801	42362.13801	96274.94757	15222.4819	26189.79643	17974.58322	27992.6418	27992.6418	27992.6418	75833.47321	126203.4847	75783.17709	74844.6304	61291.8947
O2.UC8-2_GL0052875	36325.10295	36325.10295	36325.10295	36325.10295	15303.72194	60563.79154	15303.72194	34751.25056	36600.70084	36600.70084	36600.70084	25005.42648	25005.42648	25005.42648	25005.42648	35096.9101	37122.25426	-2713.791102	38900.15819	48699.55563	55194.96971	35458.48034	4210.256427	21236.18047	52740.93721	36112.77985	36325.10295	36325.10295	36325.10295	36325.10295	58373.82721	49881.7666	68162.12085	48110.43633	36600.70084	36600.70084	36600.70084	36600.70084	45433.0089	25005.42648	66478.17264	82415.39521	56247.55174	37388.93985	-2713.791102	61758.13748	42306.24236	44037.95239	28527.63627	19094.32107	43086.28415	37698.81151	46818.49358	47894.72935
V1.FI11_GL0016634	16218.39411	16218.39411	16218.39411	16218.39411	16240.63086	16240.63086	16240.63086	16240.63086	24035.75881	66985.42506	12956.84455	27989.98627	31586.86521	93828.94866	-1770.756751	16064.45772	16064.45772	16064.45772	16064.45772	123278.5421	-916.6805119	25825.28109	41508.01536	27399.64425	9361.193162	35906.08723	16218.39411	16218.39411	16218.39411	16218.39411	16240.63086	16240.63086	16240.63086	16240.63086	-18273.03718	8025.362191	-18273.03718	-18273.03718	-1770.756751	-1770.756751	-1770.756751	-1770.756751	16064.45772	16064.45772	16064.45772	16064.45772	9579.027957	-916.6805119	43968.89831	-916.6805119	9361.193162	9361.193162	9361.193162	9361.193162
