	Treatment1	Treatment2	Treatment3	Treatment4	Treatment5	Treatment6	Treatment7	Treatment8	Treatment9	Treatment10	Treatment11	Treatment12	Treatment13	Treatment14	Treatment15	Treatment16	Treatment17	Treatment18	Treatment19	Treatment20	Treatment21	Treatment22	Treatment23	Treatment24	Treatment25	Treatment26	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	Control21	Control22	Control23	Control24	Control25	Control26	Control27	Control28
MH0015_GL0026987	6987018.673	27896747.63	9259357.987	2356544.698	5561525.314	10887552.66	12785243.72	2744784.982	4390102.573	4401985.687	4390102.573	4686179.921	4224087.676	4730337.523	4242576.137	4328654.21	4328654.21	4328654.21	4328654.21	4283162.54	4249679.065	4394489.764	4383596.289	4404911.656	4383596.289	4383596.289	-576583.793	-2002.441895	-3194785.607	-1403188.982	962372.3582	1306993.762	1412847.755	232076.9177	4418869.216	4390102.573	4390102.573	4390102.573	4530924.561	4074397.939	4153876.851	4480421.242	4343712.515	4363179.284	4364266.899	4353133.163	4459158.132	4314039.375	4218873.32	4172332.948	4383596.289	4391709.494	4383596.289	4383596.289
MH0066_GL0010765	22863512.96	13452116.07	17260413.69	19692445.34	20784412.27	22107445.87	12146835.99	21503712.16	13683379.23	17226207.35	19742516	15660723.79	13874292.28	13565304.13	17764500.28	21899918.88	13674507.28	17350007.15	17973888.22	17862027.72	16839223.89	13000647.23	9872056.556	14796643.07	13200475.08	11215271.15	25504812.45	18874226.94	15548565.06	19877204.33	25165964.81	17970973.35	12611093.26	22780917.79	17470986.14	12162130.81	16901703.09	19129707.15	20574535.4	21814130.73	21878628.26	21411289.03	23107148.85	16164440.93	16765435.3	19836621.35	32417077.47	19374797.46	24328046.56	19618249.27	24876355.92	20316790.77	23757277.26	16973963.51
O2.UC11-0_GL0008057	32799086.69	25991163.26	28909333.02	27431021.55	31351689.06	26527062.82	23699777.12	27891195.59	25942741.1	25235837.56	33045816.77	27206519.95	21303984.76	27598797.66	21980100.88	23251010.11	24995663.35	28789574.5	22536990.57	29322905.99	26135442.13	26322693.04	25978395.91	24101582.53	26059343.4	22368304.89	32477788.93	30751668.02	26573088.18	33295560.08	34182883.45	27428667.29	32797904.33	35488385.88	31485636.41	31866887.76	30648245.06	37219157.4	32245688.63	30052014.77	31136407.85	34400253.23	33445986.32	34271366.7	31762472.37	31839988.25	37731563.28	37083322.48	34858143.55	36985918.42	40870230	34136567.39	34719890	30105048.73
BGI001A_GL0017652	12088780.64	8021647.319	8032078.343	9497250.808	13535404.35	8467434.768	8409619.633	7375464.553	11135151.68	7127634.257	7492349.207	7710710.698	6817942.609	6604560.271	6928887.535	7792956.687	7669168.954	7355029.988	8904329.408	6635425.34	11015544.44	7397763.296	9075180.008	10261330.48	8950999.034	7544082.381	11279603.65	9883391.844	9183161.101	14847206.85	11826809.44	10231952.68	10910597.24	8741163.151	7676662.841	7720133.037	7273694.118	8530852.204	10464888.1	11398631.15	9477148.375	10391272.06	11398592.8	10367028.36	10379763.72	10203845.9	18385180.7	9485328.281	12569029.64	11487573.47	8827051.922	9624055.239	10161003.48	10577746.41
MH0104_GL0033445	2173731.533	18838293.65	6826155.58	2639186.474	4335417.994	8711848.184	5701884.54	-1945967.999	3814336.488	3771173.128	3794871.57	3985896.881	3734507.166	3734507.166	3734507.166	4558956.82	5997207.27	4328519.947	4346703.876	3598736.776	3876694.872	3820333.094	3812411.222	3788603.067	3788824.397	3810290.973	719684.3024	1882939.09	401347.1284	285599.749	1682568.681	462625.7894	-922526.9713	-152239.6652	3771173.128	3808685.451	3771173.128	3771173.128	3734507.166	3747539.06	3734507.166	3779545.438	3002922.904	3554436.539	3137964.091	3001047.804	3670248.241	3694053.333	3588025.669	3673072.252	3762488.543	3762488.543	3762488.543	3767701.136
MH0188_GL0141556	14839869.89	10856942.88	13264447.08	11612961.43	16687959.86	13029221.11	12654231.46	14897954.04	13249774.21	10961218.6	12635017.44	10289737.66	10486643.78	12220369.61	12161844.25	18925719.3	10623289.89	11443564.93	15809366.36	13347297.51	11452400.27	10036070.47	11551874.7	13640272.73	14316785.99	12990334.87	14509111.77	13212586.05	14692354.07	21791552.66	18949292.45	17056734.21	14046458.21	16272570.78	9867307.353	11254799.55	13133227.4	10901917.3	11595805.24	18664594.16	13764857.55	16023020.02	19278056.85	11917040.15	12015334.71	14393786.22	17141196.35	15153048.23	12889908.52	14412458.95	10735885.2	15121182.19	11704371.1	12153299.09
MH0010_GL0001485	6079573.654	5475006.664	5365035.154	5817078.845	8259412.885	6246313.648	5771442.027	7292404.961	6720753.451	5242027.597	6733664.564	5379406.421	4607773.303	4781526.657	4955212.898	5415285.179	5200048.445	5133039.19	5104727.014	4283539.154	5285779.471	3305336.65	6116997.888	4872776.724	5534386.013	5235946.053	6305411.292	4436264.05	4271214.683	7090869.442	6638574.685	5433574.025	5417051.909	5424848.863	5913001.975	4882533.808	5142773.419	7008832.649	5685639.157	6212603.751	5378153.661	6563287.1	5562514.43	5578118.689	5843446.766	5655843.117	7771961.07	6935361.224	7252366.435	6942709.027	5990963.482	6606629.663	5658755.813	5699895.346
MH0455_GL0061957	487312.3497	487312.3497	487312.3497	487312.3497	-108174.7565	-108174.7565	-108174.7565	-108174.7565	-1100038.233	16674360.24	18026868.07	329830.8043	8634779.323	8143033.432	329830.8043	1055375.396	1055375.396	4887420.801	1055375.396	-1582416.403	3535234.624	3100507.593	-486392.6701	4550515.844	-486392.6701	4013811.287	487312.3497	487312.3497	23290606.54	487312.3497	-108174.7565	-108174.7565	-108174.7565	-108174.7565	-1100038.233	-1100038.233	11853374.31	-1100038.233	329830.8043	329830.8043	8098786.787	329830.8043	1055375.396	1055375.396	5774909.328	1055375.396	7737738.275	-1582416.403	3663773.756	-1582416.403	-486392.6701	5304916.116	-486392.6701	4033285.664
MH0458_GL0084689	802310.0293	896268.7569	752559.5826	815776.0433	1136580.87	730605.1916	515325.812	576948.6165	145402.6904	2060497.878	145402.6904	705804.9906	567425.6276	289689.2083	289689.2083	1119320.59	532552.0299	407999.8874	407999.8874	625544.5869	625544.5869	750767.7378	-717270.4865	-703455.4239	-696128.7054	-642145.3963	669902.5265	601682.7217	640475.6184	868625.8466	1043605.767	515325.812	515325.812	840972.7754	238654.8182	145402.6904	145402.6904	645554.8646	1038459.155	1048641.472	958049.8471	551090.9966	1269882.106	668513.0632	710648.1715	630858.3851	711826.8544	625544.5869	703497.4438	815917.236	27039242.75	-624295.1828	-669407.3108	-640852.0247
MH0110_GL0025297	17062388.13	23622418.15	22181365.98	20795273.85	18988233.07	25108163.31	26279216.32	22839776.85	28035683	19618615.22	18920762.26	24174320.8	29585923.86	22097602.64	20643776.1	28241434.36	19973169.57	22650298.04	20661294.36	24521355.18	22095387	20995746.18	27304195.75	27284450.64	25765988.08	28046866.62	16090694.67	22767239.98	28232466.06	22442975.76	19687964.43	22587196.79	22987215.92	17977912.83	21291164	22962668.09	22627322.58	16533227.6	19791789.16	22822039.21	22106271.11	22388615.62	19451447.64	20845316.36	25159065.96	24696074.46	28228595	20401574.05	24031374.38	18914735.75	18539915.2	19808060.74	18723990.57	19830990.54
MH0013_GL0001121	1339421.882	1362919.91	929092.0921	1766475.942	1328369.091	1267212.578	1251077.888	1275557.257	1521492.178	1292913.964	1338300.14	1395321.788	1395321.788	1395321.788	1395321.788	-178607.3342	18794666.51	-48524.62333	-178607.3342	-1784739.219	-1780006.23	-1775205.478	868828.0421	1165419.599	1089877.222	1143667.076	2214610.444	1466559.769	1329028.524	1284088.546	1420007.718	1476509.946	1615941.274	1525172.86	1323453.01	1266155.339	1257870.091	1335850.258	1521074.767	1395321.788	1395321.788	1395321.788	-178607.3342	718934.0793	-178607.3342	-178607.3342	12010324.05	8295865.788	-1751196.504	-1787632.181	5051301.047	1188211.49	1099013.776	1153838.051
DLM002_GL0066761	3322124.209	1498424.369	4131106.921	4094702.699	3226554.419	5137139.58	3348820.796	4767802.844	3067435.171	4514008.368	5016618.392	5517751.71	5086717.746	7163608.756	8867991.393	3368884.818	5111776.419	4398447.557	2395014.95	3558115.735	3717620.135	3074260.948	4129946.51	3179086.412	3266570.427	4020004.192	4340431.198	4052231.107	1279493.423	3095609.05	3431638.965	3681939.001	2820768.462	3744687.028	4966398.266	4896907.628	4232327.966	4364029.272	3204823.057	219484.0895	2670551.821	2858607.822	2733464.172	4914173.165	3188226.343	2819029.299	3541649.716	4470040.573	3632688.919	4178900.916	4440510.066	4214517.524	4156962.25	3788608.502
V1.CD1-0-PN_GL0073475	13056882.86	7341330.704	8062569.837	10083302.73	9599851.25	10567370.25	6076151.715	10244993.65	7813072.63	10175784.12	11619730.44	6975983.385	7598276.235	7934714.335	9802181.063	9553271.331	8885303.335	6789083.677	6692491.807	8244554.045	9336760.061	7464177.66	6132919.047	6960872.106	7650516.193	7702955.084	11525589.58	8821995.597	7733246.077	9626785.92	11553959.42	9306404.216	7794153.075	9085605.43	11354121.58	7933200.271	9068074.466	12011503.5	9726011.948	8292032.772	10936042.16	10935159.89	9211552.437	11299848.54	10420334.29	11152068.01	13447776.44	9890886.13	11714795.3	10250319.26	10422509.74	11210658.44	11716486.89	11456752.25
MH0275_GL0152446	11715573.05	13406790.04	13570462.98	10090203.91	12383168.82	12178091.47	10224246.65	10184976.52	10827651.33	10566507.81	10015477.65	12226706.97	9867914.539	13124164.69	7515542.487	11953769.83	9692101.973	8845054.303	9051821.151	12491628.52	15302960.43	11730282.17	12342681.42	15469295.38	15508388.92	14726518.24	8296849.114	10269444.72	12552240.54	14254712.67	10319305.3	10519084.3	9359680.451	13841773.66	11776174.27	12847180.45	15671805.8	9682259.68	9996322.175	13769692.2	9050013.731	14048839.23	14285078.48	11762257.63	11464626.12	15263365.89	12136512.91	13285258.1	12335592.87	9155694.001	9554009.347	12636317.3	10984832.68	9149174.086
O2.UC17-1_GL0084760	1373193.903	1351652.495	1351652.495	1395124.751	2121652.274	-756620.1252	2340965.107	229752.9224	1384573.771	1384573.771	1384573.771	1376867.092	1376867.092	1376867.092	1376867.092	1364805.402	1364805.402	1364805.402	1364805.402	1339550.586	1339550.586	1339550.586	1382512.154	1382886.366	1384104.478	1382512.154	1405995.079	1391289.23	1351652.495	1351652.495	3698206.55	123967.7389	2107022.863	892525.1155	1384573.771	1384573.771	1384573.771	1384573.771	1376867.092	1376867.092	1376867.092	1376867.092	1367534.421	1364805.402	1370386.133	1364805.402	1512942.772	1339550.586	1339550.586	1339550.586	1382512.154	1382512.154	1382512.154	1385766.323
V1.UC51-4_GL0052281	5033782.465	6740610.639	8268893.747	7005295.867	5815432.149	8730327.542	8277632.422	8131911.672	8051584.248	5647045.196	5583137.181	7797856.227	10654674.02	7202685.853	9073522.285	3329683.41	6130246.773	9606941.149	5774008.772	9415375.087	6760157.008	6517259.379	11585952.21	7943714.132	10186082.49	11778651.37	4591178.646	7735921.067	9875329.477	7884238.765	4790262.655	6801849.532	5310373.638	6193985.833	5739086.63	6835248.012	7788658.34	4455369.118	4959341.239	8770275.079	6478474.115	6666505.817	4494151.101	6709338.812	9873280.644	7823966.029	7784491.008	10482736.67	7783103.022	6461739.921	5400533.436	6063777.036	6446374.484	5864915.99
MH0415_GL0201982	1444197.131	1880222.297	1735248.263	1780676.462	2055699.871	1910455.369	2357660.072	2259553.097	2764183.514	5425538.204	3388941.654	9752351.981	9451967.381	9693198.031	3819756.113	3424321.501	4035257.278	2341674.781	2899598.24	1272850.56	4127821.894	3775997.143	2143949.998	1987336.328	2020693.658	2156308.286	2659840.426	2371558.208	2273092.925	2368339.064	1858773.578	1927551.627	1694787.058	2407106.576	4346584.729	3942025.087	2512747.109	1757096.389	-275962.7485	-379587.0452	-286325.1782	-281584.4715	1271485.118	2248554.092	1535932.235	1561777.369	337855.4588	3030265.387	1086791.448	1500778.313	2583246.947	2302045.658	2528287.731	2367479.276
O2.UC49-0_GL0010552	1359681.628	1359681.628	1462156.775	1359681.628	1435968.127	1435968.127	1445303.473	1435968.127	1441938.478	1441938.478	1441938.478	1412429.99	1458940.635	1434366.454	1383252.442	257162.8868	3071260.376	1589522.257	2347293.909	1407622.292	1407622.292	1407622.292	1430953.731	1430953.731	1432437.23	1430953.731	1577069.938	1469032.617	1454887.51	1359681.628	1435968.127	1435968.127	1435968.127	1435968.127	1441938.478	1441938.478	1441938.478	1441938.478	1405716.45	1638706.114	1449176.786	1554737.968	5264246.181	4868959.82	-1045742.462	1529944.804	1408836.022	1445107.801	1407622.292	1407622.292	1494662.325	1430953.731	1430953.731	1433072.907
MH0001_GL0010989	1473329.633	1495546.275	1473329.633	1473329.633	1733456.392	1733456.392	1733456.392	1733456.392	798251.4004	2793763.82	1844466.879	4508671.659	2086407.38	10394398.83	3562317.717	4314124.314	3083869.616	3313604.274	1131584.14	1357696.579	1571123.323	1435082.947	1781606.615	1805270.979	1714546.269	1714546.269	3035841.296	1473329.633	1473329.633	1473329.633	1733456.392	1733456.392	1874739.467	1733456.392	609043.8182	113370.4261	3648799.586	5307729.416	1001553.43	-314887.2689	321233.3509	1074716.928	782055.4833	955389.4882	601499.2283	1075430.703	1826826.852	3899300.869	1594112.511	1424882.753	1920962.585	1770371.637	1938710.23	1785712.864
MH0165_GL0032950	3026384.582	3061197.006	2009607.056	1005424.269	2090508.952	3023059.064	3256220.032	2445489.318	3698153.072	5331017.212	4693520.996	1498450.258	2577729.08	2688174.93	2426199.507	2716513.861	2197379.212	1592077.703	1941490.303	2389080.001	2306013.424	2294077.461	2286130.786	2286130.786	2286130.786	2286130.786	3010393.508	2080647.044	714896.1881	1147221.218	1758040.679	1779500.302	2366823.569	1985824.436	2927199.704	2824326.483	1120761.828	2457319.315	1381273.408	2154886.874	1291164.206	1717618.167	2508720.222	3032471.28	1971726.87	2540041.922	2455095.202	2257581.865	2281319.547	2344944.258	2518735.036	2365360.472	2455474.707	2332415.833
MH0131_GL0105124	9184420.213	7526946.863	8166777.596	7535111.756	10559599.7	11453392.18	11795386.05	12907472.49	9506553.528	8204831.534	8981867.716	6503718.164	8231263.782	7513944.282	8982777.684	13350753.49	10853440.13	10958189.21	10549905.85	10143476.99	7972817.296	8198715.142	8694619.165	9552179.082	10248312.1	9376672.356	11641310.85	8886772.737	11650960.27	14081129.43	10165457.84	12245314.15	11005889.57	10107246.12	6704915.611	7755426.28	11015478.27	7179690.517	8112034.211	12903342.83	11540421.91	11201252.27	8296372.175	7139251.908	7548725.596	8661922.668	11662530.7	12642344.39	11276026.77	10398668.68	8852607.962	8829359.87	8810041.032	8558241.27
T2D-19A_GL0079441	1044558.297	1083064.538	918172.4623	1194603.016	2096981.991	2096981.991	2306060.444	2252396.564	2378573.61	2378573.61	2378573.61	2504516.226	1488058.291	1410236.743	2383269.282	981833.3086	1927251.6	1747638.411	1287792.89	2447136.286	2556636.205	2462912.991	2636149.02	3252937.067	3125315.659	3392260.151	3475937.382	3472271.368	3218399.894	2325987.328	2461458.125	2266147.376	2832594.883	2678555.874	2378573.61	2378573.61	2378573.61	2378573.61	2945329.545	3170048.376	2895122.094	3727796.466	2904176.895	3060671.07	2243546.164	4121966.072	2267251.344	2445087.929	2286383.867	2745564.425	3538713.944	3370685.185	3478925.691	3794505.275
V1.CD22-0_GL0034362	1849778.038	3882406.231	4659937.032	3156753.515	3102736.228	3000400.585	2790524.174	2802510.289	3687677.047	2812046.907	2347548.915	2973223.431	3229623.345	3260059.981	3153496.554	3072870.672	2078080.265	2502139.678	1085922.214	4042970.645	4333604.493	3675042.307	5524826.656	4810570.735	4053290.71	4288842.453	1919909.523	3349054.687	2266051.633	3525664.34	2528883.023	2735703.213	2794583.217	2464081.592	3753528.607	2370156.864	2791183.046	2333090.912	2741888.568	2613611.171	2628167.721	2767380.718	4056964.996	3922000.367	2398730.543	3159750.738	3822410.571	3931049.536	4128142.281	3707043.211	2596258.839	2425696.506	2150188.828	2662782.333
T2D-81A_GL0012457	3559409.233	653150.1647	700471.8524	688313.1769	1674476.299	1447694.316	1407565.125	1692570.123	10412890.14	4954662.236	-1238750.894	241958.8607	2600373.31	6531980.689	-529256.5604	12530133.74	232624.924	298774.8211	235301.1871	5703850.976	-1052005.365	-877335.1138	-332803.3334	-36743.22366	-332803.3334	149726.1449	2371551.08	685763.9678	2572994.143	1513955.549	1431803.12	4691735.028	1830046.812	1670180.153	-1296409.544	-1182271.42	5661573.014	8889580.719	-956393.6996	-601279.198	-934797.9078	158802.2298	9666691.473	69579.96374	69579.96374	153611.4406	11206467.3	-720210.4685	2403091.548	2274170.021	3059762.776	426674.9502	-35608.10298	3638880.704
MH0179_GL0011376	11114879.12	9211424.048	7055324.394	13322932.99	11275512.02	8606360.405	10962217.24	10370105.09	6216656.041	8929865.798	11974097.32	6967092.992	8760008.266	8085683.395	12594582.22	5116703.436	9699079.145	9960657.489	7383053.412	4852923.566	8336878.773	7381912.981	6844634.974	5581672.168	7664566.563	5989479.051	9698782.111	8721767.127	6597276.781	5795549.779	8289467.981	6163560.521	7088604.586	9852943.851	12025481.01	10985717.01	10418481.41	13583111.97	8752836.605	6339950.102	9863877.891	8904385.128	7410587.974	10294336.65	9479654.228	8892202.916	8138851.202	9222091.57	9266426.101	12381665.79	14919870.31	9691102.024	10579096.12	12058745.39
MH0041_GL0071866	5934557.035	7561766.826	4650688.091	7029818.521	2271410.509	2271410.509	2311667.54	2271410.509	2280122.138	2280122.138	2312734.788	1719205.024	1154539.551	1427724.54	2569529.686	1818969.913	2187127.555	1951677.024	1825113.412	6209670.433	1307207.903	5696781.789	2264049.248	2264049.248	2278137.752	2301733.771	1547279.935	2105072.898	386361.3071	3557935.795	2271410.509	2331593.858	2312971.96	2271410.509	2280122.138	2280122.138	2280122.138	2280122.138	2301750.184	4590350.155	1429803.574	2396554.107	2726078.232	2382607.655	3036079.932	2669542.967	2237496.951	2706831.965	5229919.85	3291439.837	2293208.543	2264049.248	2264049.248	2264049.248
MH0288_GL0145856	2028187.509	3852183.741	2381797.319	2557912.735	4551247.015	3354604.679	1124834.326	3205540.462	2136031.47	2426220.064	3418333.22	2637977.305	2566481.153	2742613.914	2535403.085	2606090.317	2606090.317	2606090.317	2747877.183	1238390.277	2663929.862	125513.5228	931676.4076	1695864.084	2028009.847	1539635.675	3540337.317	2184563.814	1008097.079	3977867.896	2969992.923	4073198.506	2904369.901	2829185.908	2402337.953	534505.5068	1624074.434	4015804.972	2564039.474	2415642.289	2494752.686	3069253.661	2713122.94	2764561.355	2665853.661	2721916.825	5475892.802	2399728.434	2924126.214	3601384.344	4802552.349	2883090.611	3927698.5	3622057.086
V1.UC33-0_GL0112295	1436706.219	1436706.219	1436706.219	1519941.021	1459373.584	1459373.584	1459373.584	1459373.584	1699765.401	1203479.577	1209505.831	1637173.914	1517747.806	1526315.434	1417871.038	1892721.675	1544879.112	1313129.621	1339027.015	2714902.734	5115638.53	3033579.876	1464866.295	1464215.575	1464215.575	1464215.575	1436706.219	1512575.87	1436706.219	1436706.219	1496266.726	1459373.584	1459373.584	1501139.126	2014109.405	1987819.267	1203479.577	1203479.577	1222337.412	1407765.023	1208380.699	1382017.171	1462831.781	1519382.302	1515186.624	1326550.095	1580219.757	1820293.337	2170708.227	2580257.742	1464215.575	1464215.575	1464215.575	1464215.575
T2D-135A_GL0018897	4529409.12	2744636.098	2918118.628	3393765.786	4570358.41	2915608.608	1551152.19	3630296.191	2631852.948	2853145.358	4083516.548	2906259.365	3011238.573	3495293.016	2693380.457	3701529.014	2957311.482	2769233.463	3346570.332	2327872.133	2678422.083	1833603.916	995774.598	3378428.354	2122393.307	2012957.679	4086361.427	4462113.15	3655705.343	5790493.669	6257276.905	3789589.356	2937894.148	4792632.45	3435070.891	1747002.897	2792286.521	3906829.602	4309453.527	4509337.381	4180589.681	4140019.756	4506178.414	4228043.975	3709660.519	3948615.888	7091763.004	4381222.071	7568990.598	4277175.095	5465037.655	4168124.644	4900445.135	3634878.008
MH0059_GL0099792	5311098.292	7235356.99	6400656.328	5829365.301	2526390.574	2204268.634	2419654.848	2262001.173	1638519.029	2561212.319	3170092.534	1903428.273	2675438.16	3003098.678	2898389.291	1897995.153	1318004.055	1658605.752	1392392.979	4159910.242	3800765.115	3905073.352	2265128.577	2297267.214	2310658.313	2305531.564	2254349.208	1827334.822	119405.5627	2771247.855	2318415.472	2315496.687	2303433.684	2316829.656	4229925.135	4273449.304	1716318.481	3719661.524	1722848.949	2009025.028	1355700.569	2942535.833	2989853.337	2737787.137	2889357.556	2752484.874	3918689.637	3858478.176	5203867.05	3690460.716	2264100.475	2242021.426	2373200.149	2953586.182
MH0140_GL0014109	-707126.867	3844333.266	2429254.273	4343514.738	5164767.946	-22456.26462	-22456.26462	-22456.26462	656381.8874	656381.8874	6185468.111	4988136.1	544739.1241	544739.1241	6301281.815	2135572.381	2135572.381	2135572.381	2135572.381	2124056.836	2124056.836	2124056.836	2623436.865	2487442.2	3706790.982	1111184.193	7263761.004	-707126.867	-707126.867	-707126.867	4727656.603	-22456.26462	-22456.26462	-22456.26462	656381.8874	656381.8874	656381.8874	656381.8874	544739.1241	544739.1241	10868012.92	6113689.57	2135572.381	2135572.381	2135572.381	2135572.381	2124056.836	2124056.836	2124056.836	2124056.836	-2214130.541	3484336.132	2219655.795	666974.9817
MH0179_GL0072360	5129172.385	4519869.602	4563202.321	5565347.732	5919161.909	5070935.652	6460465.487	6027580.324	5238585.119	3567235.626	5050909.021	8545444.729	6214975.558	5056769.371	6457825.242	5614640.352	5410281.493	2776581.262	3030212.99	6133937.339	5046337.855	3324131.685	3414981.324	4653747.287	4215853.741	3416590.357	6364866.909	3915449.379	5966124.521	4687504.157	7219000.146	5383969.186	3918940.708	5753774.544	4236676.269	4425572.261	4641305.936	6195357.867	4198379.893	3438572.96	4394435.236	6363311.77	5462315.968	6353442.685	6339343.959	6921025.433	8011789.655	7562323.339	7647760.41	4715329.316	8004794.728	6045560.664	5765872.903	5298306.899
MH0448_GL0176244	2642118.353	2460271.039	1415698.1	3014421.139	1606280.066	1327217.9	1274579.003	1369842.104	1596132.081	1639249.092	1596132.081	1669676.711	1705126.79	1723408.007	1580592.995	1452597.443	1459564.9	1459051.807	1446703.504	1614204.084	1477441.794	1676393.231	1570982.286	1583337.779	1595284.959	1601178.345	2807825.373	3171520.002	1428018.525	2868620.481	1940071.483	1132434.978	1161699.924	1216581.2	1610890.886	1596132.081	1602241.503	1596132.081	1543425.554	1528205.101	1585823.686	1535355.617	1497052.848	1789737.163	1766070.53	1685774.374	1542976.626	1607576.462	1661796.879	1489953.526	1599800.54	1606800.192	1570982.286	1617322.299
515619.EUBREC_1472	9130493.818	11412654.41	11895066.27	11306296.84	8185707.238	10991600.48	9816449.798	7579944.799	9518990.432	11564708.63	9191314.385	9378452.585	10432952.1	10668885.29	9643185.131	10346259.65	6158497.372	5818880.879	8902741.127	8303280.177	9826488.662	10999565.97	11870612.3	11186364.8	8947360.88	11133730.37	7338954.291	7683378.972	6242300.31	9834312.918	7102406.479	7398886.653	7145689.739	7616522.202	5768029.092	5279223.528	6215941.535	5574291.294	5449777.296	9072182.506	6817192.894	5787837.434	11223651.74	7517853.944	8261061.889	8263139.962	9171715.784	7659535.053	8075832.757	8541755.352	5555555.676	6725651.131	6660019.228	7195493.922
O2.UC7-1_GL0015069	2765358.972	2256358.042	2351227.889	2083866.807	1962445.741	2149152.996	2779211.927	2696161.543	3533600.173	1394525.457	1560270.532	2301853.974	2301853.974	2391744.498	2301853.974	2268261.681	2268261.681	2291588.878	2268261.681	1858233.661	2215458.18	1553604.036	777170.5393	1160782.987	1136027.142	887695.0722	2261989.605	3412933.514	2808872.585	2083866.807	1721953.475	3432791.393	4386309.716	1655346.651	1652277.318	473594.0048	1889967.048	1161485.889	2301853.974	2301853.974	2301853.974	2301853.974	2416388.811	2462267.411	2268261.681	2268261.681	3109106.325	2399662.107	2449577.429	3307970.386	3646888.72	2692602.471	2779557.376	2400689.798
MH0012_GL0224179	4011832.179	4345726.797	4115493.967	4778100.112	5461426.362	5507484.326	2773139.523	5576571.272	5986671.645	5874929.54	5874929.54	5225581.996	4535122.665	5347824.336	4874755.387	5869646.33	4095649.155	4462115.109	3247167.237	4462782.83	4718821.311	4542941.233	6919325.298	6688435.531	6242200.64	6726571.722	6085793.561	6872171.88	5624083.959	9582201.99	7697804.109	6217567.729	5747415.799	8325551.964	5874929.54	5894623.646	5874929.54	5874929.54	8082694.568	6920692.728	6751766.789	6443298.868	7591315.736	7880405.217	6907880.75	6859327.443	9093762.693	7609434.564	8111614.493	6561104.685	4070095.83	6234531.949	5240089.308	5734823.486
MH0147_GL0097801	2921841.871	3220953.481	3705355.468	3232938.533	3496857.641	3008999.33	3465728.432	4169984.958	4307090.906	4360689.438	4226842.824	5452254.747	3739613.037	3621724.554	3544953.274	6564015.109	5885593.644	5492940.521	4189317.306	3868699.882	5333499.099	5690206.095	5368109.263	6342972.467	6488217.72	6133035.743	4805186.21	6301185.427	6662281.079	5871120.578	4571819.539	5202771.797	5641593.235	5877907.45	6699965.938	6577348.067	6353970.944	4761735.216	6723725.167	6185080.228	5313472.208	6272777.758	3967457.157	6112723.807	5006020.958	6104558.997	5821559.364	5062010.939	4515942.498	3391400.196	3261479.76	4889851.045	2743756.878	4725494.575
V1.FI01_GL0193945	760848.0257	963327.2119	1104100.538	794477.938	1209113.084	1209113.084	1209113.084	1209113.084	1217664.888	1217664.888	1217664.888	1166122.139	1166122.139	1166122.139	1166122.139	1645844.633	2229793.635	2219731.672	1471733.209	950530.6329	837327.3682	906726.213	1211213.107	1211213.107	1211213.107	1211213.107	918480.0401	1357418.181	1419539.495	1063364.175	1209113.084	1209113.084	1209113.084	1209113.084	1217664.888	1217664.888	1217664.888	1217664.888	1384780.089	1166122.139	1517813.569	1322543.148	1836074.928	3601574.637	1897334.529	1690196.189	1749403.093	1186357.13	1115315.059	1664596.48	1211213.107	1211213.107	1211213.107	1222093.356
O2.UC6-2_GL0024319	4767997.954	3389840.923	4473205.006	4853277.343	7030111.347	6126657.783	7617641.065	5434031.154	5415009.823	4185982.334	4567098.032	4656203.756	6923609.573	4860797.107	5999529.602	4906075.364	4313508.199	3265764.291	3386406.708	3961074.721	4738049.883	3213129.399	4232095.974	5022141.521	4144731.359	5334158.004	7459036.434	5828350.139	4206838.521	6693778.007	7765789.723	4511140.993	2767671.879	3951088.419	3675805.868	3946891.653	5007799.417	4031907.213	4183422.619	6228162.673	6004473.942	3234279.963	8967182.984	4700557.459	4802677.716	5111451.338	6671285.52	5461329.326	6040977.464	5795646.845	4119393.64	4795310.49	4244774.74	4011624.137
MH0199_GL0004456	448664.7821	1882311.832	369494.4681	1407566.767	1675977.289	1627440.844	1599895.328	1694882.667	1641620.626	1633220.81	1645355.988	1625799.126	1659967.039	1625799.126	1625799.126	1507434.148	1474453.416	1436263.705	1503743.745	2066271.894	2198398.968	2526503.039	1624362.379	1615985.062	1672613.084	1621178.561	2099891.786	2926128.131	634894.9526	2249235.787	1555283.757	1662880.426	1582651.988	1659750.87	1641172.973	1634481.416	1651411.964	1630121.029	1625799.126	1625799.126	1625799.126	1625799.126	1721858.139	1823235.359	1592283.132	1802728.91	2791046.401	2798766.235	3191988.331	3251388.783	1652068.835	1615985.062	1647325.535	1615985.062
